plate,totalowed
T742750C,2910
T713141C,2910
T751735C,2910
T742751C,2910
T751736C,2910
T711271C,2891.100000000001
T785115C,2881.42
T745134C,2881.42
T101446C,2870.98
T101298C,2870.98
T799774C,2870.98
T101454C,2870.98
T799068C,2870.98
T799249C,2870.98
T102360C,2870.98
T799286C,2870.98
T101466C,2870.98
T799260C,2870.98
BLESS93,2863.86
T744966C,2851.34
T757144C,2850.04
T769378C,2850.04
T807619C,2850.04
T756907C,2850.04
T779187C,2850.04
T715996C,2850.04
T791554C,2850.04
T700454C,2850.04
T692691C,2850.04
T691195C,2850.04
T103655C,2836.24
T762341C,2832.11
T723081C,2828.29
T703599C,2826.5
FL3TCH1,2823.1
T799236C,2815.76
T752603C,2815.76
T761907C,2815.76
T714851C,2814.39
T745990C,2813.45
T807963C,2808.48
T757064C,2803.1400000000003
T739158C,2795.33
T789803C,2795.17
T759833C,2795.17
T790553C,2789.04
T102741C,2783.94
T723057C,2780
T771207C,2767.63
T749838C,2766.27
T770807C,2765.37
T713183C,2765.37
T699701C,2765.37
T717046C,2765.37
T646332C,2757.51
T753651C,2745
T700651C,2743.4900000000002
T766830C,2741.73
T773655C,2741.73
T783572C,2741.73
T103677C,2741.73
T752773C,2741.73
T752710C,2741.73
T752799C,2741.73
T688492C,2739.15
BARSANTI,2735.8199999999997
7K99H,2732.97
7K98A,2732.97
T703280C,2717.3
T101561C,2715.23
T778073C,2714.72
T789699C,2714.72
T102784C,2714.24
T716135C,2710.4
T681348C,2686.7200000000003
T736818C,2685
T639134C,2685
T677970C,2685
T653303C,2685
T635198C,2685
T667534C,2685
T706047C,2685
T720916C,2685
T689164C,2685
T641568C,2685
T748009C,2685
T725356C,2685
T763735C,2685
T715115C,2685
T651402C,2685
T748311C,2685
T758418C,2685
T787133C,2685
T772987C,2685
T702469C,2685
T808127C,2685
T657039C,2685
T715646C,2685
2J96A,2678.7200000000003
2J95A,2678.7200000000003
T718007C,2674.49
T744623C,2670
T794368C,2662.05
T803415C,2660.91
T432700C,2649.5699999999997
4N74C,2645.8200000000006
4N75B,2645.8200000000006
6E99J,2645.15
T680162C,2635
T750407C,2635
J44NI,2630
2N43H,2625.22
2N69A,2625.22
2N82C,2625.22
2N68A,2625.22
2N83A,2625.22
T776547C,2623.5299999999997
T797126C,2623.5299999999997
T788889C,2617.3199999999997
T746861C,2615
T734093C,2605.69
4G12A,2605.64
4G13B,2605.64
PEISO200,2595.4300000000003
T691783C,2589.99
T695172C,2589.99
2P90B,2589.8900000000003
2P91B,2589.8900000000003
WILLLYS,2589.3900000000003
T803713C,2587.65
T796308C,2586.2
T769788C,2585
T698476C,2580.08
1P13H,2579.99
1P12H,2579.99
1Y84B,2576.2799999999997
1Y83H,2576.2799999999997
T681888C,2572.4
7D67H,2566.66
T749439C,2555
T714747C,2555
5L42C,2548.6800000000003
5L43H,2548.6800000000003
T771436C,2543.1
T614350C,2543.1
T731643C,2543.1
T744682C,2543.1
T744630C,2543.1
T769686C,2543.1
T622014C,2543.1
T802088C,2543.1
T808050C,2543.1
T794285C,2543.1
T756682C,2543.1
T807512C,2543.1
T800697C,2536.33
T783610C,2532.58
T799269C,2528.7
T527503C,2527.6900000000005
4K59J,2525
4K60A,2525
T681700C,2520
T734715C,2520
T681954C,2520
T682032C,2520
T734657C,2520
T791017C,2520
T681953C,2520
T768826C,2520
T662857C,2520
T701093C,2520
T779733C,2520
T794236C,2520
T690808C,2520
T648819C,2520
T723576C,2520
T673424C,2496.51
T752392C,2493.56
T780753C,2491.0299999999997
T731499C,2490
T787046C,2486.36
9F57A,2481.5900000000006
T653543C,2480
T774133C,2477.8
T729345C,2475
T705336C,2475
T697047C,2475
T705339C,2475
T697327C,2475
T697328C,2475
T742677C,2475
T706769C,2475
T712982C,2475
T697051C,2475
